Petition_ID,Petition_Name,Country,Genre,Year,Total_Signatures,Successful,Signatures,Signatures_Per_Capita,Population,Population_Density,GDP_Per_Capita,Unemployment,Tertiary_Enrollment,Life_Expectancy,Media_Literacy_Index,Governance,Social_Capital,Personal_Freedom,Education
eci_table_01,Ban Conversion Practices,Austria,Human Rights,2024,1128063,True,10724,0.001208056670069,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_01,Ban Conversion Practices,Belgium,Human Rights,2024,1128063,True,47459,0.0041325995042691,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_01,Ban Conversion Practices,Bulgaria,Human Rights,2024,1128063,True,2386,0.0003420415349665,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_01,Ban Conversion Practices,Croatia,Human Rights,2024,1128063,True,8574,0.0021079287031346,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_01,Ban Conversion Practices,Cyprus,Human Rights,2024,1128063,True,696,0.000580689568863,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_01,Ban Conversion Practices,Czech Republic,Human Rights,2024,1128063,True,3774,0.0003537116148153,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_01,Ban Conversion Practices,Denmark,Human Rights,2024,1128063,True,8587,0.0014757964737968,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_01,Ban Conversion Practices,Estonia,Human Rights,2024,1128063,True,1519,0.0011405410925167,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_01,Ban Conversion Practices,Finland,Human Rights,2024,1128063,True,23618,0.0042783798168002,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_01,Ban Conversion Practices,France,Human Rights,2024,1128063,True,580568,0.0086574556858409,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_01,Ban Conversion Practices,Germany,Human Rights,2024,1128063,True,92739,0.0011155524788717,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_01,Ban Conversion Practices,Greece,Human Rights,2024,1128063,True,4127,0.0003851134745671,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_01,Ban Conversion Practices,Hungary,Human Rights,2024,1128063,True,3195,0.0003270232014517,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_01,Ban Conversion Practices,Republic of Ireland,Human Rights,2024,1128063,True,18503,0.0036953754781489,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
