Country,Signatures,Threshold,Percentage
Austria,9,"13,395",0.07%
Belgium,15,"14,805",0.10%
Bulgaria,5,"11,985",0.04%
Croatia,2,"8,460",0.02%
Cyprus,2,"4,230",0.05%
Czechia,2,"14,805",0.01%
Denmark,3,"9,870",0.03%
Estonia,1,"4,935",0.02%
Finland,4,"9,870",0.04%
France,34,"55,695",0.06%
Germany,42,"67,680",0.06%
Greece,8,"14,805",0.05%
Hungary,13,"14,805",0.09%
Ireland,6,"9,165",0.07%
Italy,35,"53,580",0.07%
Latvia,1,"5,640",0.02%
Lithuania,1,"7,755",0.01%
Luxembourg,0,"4,230",0.00%
Malta,1,"4,230",0.02%
Netherlands,6,"20,445",0.03%
Poland,25,"36,660",0.07%
Portugal,8,"14,805",0.05%
Romania,48,"23,265",0.21%
Slovakia,2,"9,870",0.02%
Slovenia,3,"5,640",0.05%
Spain,13,"41,595",0.03%
Sweden,2,"14,805",0.01%
Total number of signatories,291,,
