Rank,Country,Score,Cluster
1,Finland,74,1
2,Denmark,73,1
3,Norway,72,1
4,Estonia,71,1
5,Sweden,71,1
6,Ireland,70,1
7,Switzerland,67,1
8,Netherlands,64,2
9,Iceland,62,2
10,Belgium,61,2
11,Germany,61,2
12,Portugal,60,2
13,United Kingdom,60,2
14,Austria,59,2
15,Czech Republic,58,2
16,Spain,58,2
17,France,57,2
18,Latvia,55,2
19,Slovenia,55,2
20,Lithuania,54,2
21,Luxembourg,53,2
22,Poland,53,2
23,Slovakia,48,3
24,Italy,47,3
25,Croatia,45,3
26,Malta,45,3
27,Hungary,41,3
28,Cyprus,39,3
29,Greece,38,3
30,Ukraine,38,3
31,Serbia,33,4
32,Moldova,32,4
33,Montenegro,32,4
34,Romania,32,4
35,Bulgaria,31,4
36,Turkey,29,4
37,Bosnia and Herzegovina,24,5
38,Albania,23,5
39,North Macedonia,22,5
40,Kosovo,21,5
41,Georgia,20,5
