,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Population,0.03430070771261972,0.20393770778919837,0.5234420835915513,0.6879553644898764,-0.3689220781736778,-0.18250529139121657,0.06630430342964769,0.15296344933215547,-0.054517238689200186,0.05245400811257646,-0.08384129931608668
Population_Density,0.05830150605687173,-0.29896876110084925,0.5510063590108905,-0.5895024273090921,-0.3009506740992189,-0.2428484114903255,0.02312685489680802,-0.04854902395224314,-0.2694715757830927,0.1727811419974428,-0.03450685830858741
GDP_Per_Capita,0.3387305782930391,-0.17990625323394577,0.10207392145611655,0.10730437354636521,0.5296365489601188,0.03345938537051623,0.6214513873715511,0.1359348247844014,-0.1193548239504465,0.3199838830133599,-0.167368617265846
Unemployment,-0.020619144565814568,0.6280948575550852,0.20675707744284988,-0.11074574340732879,0.4314366893188152,-0.006494329211893357,-0.26076296531661164,-0.07208830101652701,-0.5384424225967896,-0.023191552922524117,0.015055265835201587
Tertiary_Enrollment,0.05958888540748226,0.6139027976410637,-0.1710438584013329,-0.34305809678574756,-0.29863090731750785,-0.05791562261079347,0.3074973950931823,0.35656202422853556,0.2702412037506368,0.2911188494593323,-0.024927987152180184
Life_Expectancy,0.3235868747106767,0.16835917636725167,0.4650933843357502,-0.0998652722417786,0.17945333416935938,0.2588132170117108,-0.09840553286158188,-0.3581993909226363,0.6247120937536483,-0.058906885203564185,0.09873367859594737
Media_Literacy_Index,0.3861068390333417,0.007065245340578584,-0.27977644752120623,0.14848185230754668,-0.209073762957376,0.032659748786634545,-0.28158430497671405,-0.4171224909921573,-0.14795209328644457,0.6559392229430328,0.018557832741382882
Governance,0.4187279704991737,-0.03297428207811312,-0.07416930680926902,0.03197269270906614,0.05707204497471596,-0.4067657986187968,-0.013095757673200599,0.18378075354720558,-0.028722716065682746,-0.1634546713594377,0.7660622186200227
Social_Capital,0.3752971198379184,-0.10662385704729647,0.05636038984555109,-0.03799398842893174,-0.16269299230357326,0.6708095877964477,-0.2354214593604576,0.5132331404734218,-0.19815947014802135,-0.09208861684824518,0.01139589641597976
Personal_Freedom,0.40025343114262774,-0.034887103849584364,-0.10108303967469677,-0.04250291870134902,0.13570412774058424,-0.46552419815898116,-0.38412165588165315,0.23399948416011787,0.17384659385043583,-0.16285653199751282,-0.5765217421450964
Education,0.3828043881314091,0.1523589383402375,-0.16277200059436114,-0.038004884323826454,-0.30567156631820364,0.054707439706177446,0.39267990828760657,-0.41133482954460154,-0.25445428992867325,-0.5331709460400068,-0.18294357812460996
