,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Population,0.034300707712619526,0.20393770778919781,0.5234420835915491,0.6879553644898766,-0.3689220781736787,-0.1825052913912148,0.06630430342965489,0.15296344933215617,-0.05451723868919907,0.05245400811257654,-0.08384129931608653
Population_Density,0.058301506056871455,-0.29896876110084925,0.5510063590108911,-0.589502427309091,-0.30095067409921816,-0.24284841149032405,0.023126854896817983,-0.04854902395224142,-0.2694715757830933,0.17278114199744252,-0.03450685830858635
GDP_Per_Capita,0.3387305782930395,-0.17990625323394552,0.10207392145611595,0.10730437354636545,0.5296365489601175,0.0334593853705395,0.621451387371551,0.13593482478440322,-0.11935482395044451,0.31998388301335967,-0.1673686172658456
Unemployment,-0.0206191445658144,0.6280948575550852,0.2067570774428505,-0.11074574340732768,0.4314366893188153,-0.006494329211904293,-0.2607629653166106,-0.07208830101652264,-0.5384424225967911,-0.02319155292252352,0.015055265835203488
Tertiary_Enrollment,0.05958888540748252,0.6139027976410641,-0.17104385840133102,-0.3430580967857486,-0.29863090731750735,-0.057915622610781446,0.3074973950931833,0.356562024228533,0.27024120375064076,0.2911188494593323,-0.024927987152181377
Life_Expectancy,0.3235868747106768,0.16835917636725084,0.4650933843357502,-0.09986527224177633,0.17945333416935963,0.25881321701170756,-0.09840553286159262,-0.3581993909226421,0.6247120937536457,-0.05890688520356516,0.0987336785959447
Media_Literacy_Index,0.3861068390333419,0.007065245340578431,-0.2797764475212063,0.14848185230754596,-0.20907376295737576,0.032659748786623526,-0.28158430497671366,-0.41712249099215815,-0.14795209328644862,0.6559392229430324,0.018557832741383052
Governance,0.41872797049917404,-0.03297428207811352,-0.07416930680926861,0.031972692709065664,0.057072044974715616,-0.4067657986187971,-0.013095757673186305,0.1837807535472065,-0.028722716065677605,-0.16345467135943628,0.7660622186200227
Social_Capital,0.37529711983791875,-0.10662385704729663,0.056360389845550946,-0.03799398842893149,-0.1626929923035726,0.6708095877964382,-0.23542145936048547,0.5132331404734238,-0.1981594701480175,-0.0920886168482431,0.011395896415979538
Personal_Freedom,0.4002534311426281,-0.034887103849584135,-0.10108303967469677,-0.04250291870134933,0.13570412774058363,-0.46552419815899704,-0.38412165588163555,0.23399948416011468,0.17384659385043497,-0.16285653199751318,-0.5765217421450974
Education,0.38280438813140943,0.15235893834023706,-0.16277200059436048,-0.03800488432382704,-0.30567156631820336,0.05470743970619383,0.3926799082876059,-0.4113348295445973,-0.25445428992867725,-0.5331709460400087,-0.18294357812460688
