Country,Signatures,Threshold,Percentage
Austria,"1,139","13,395",8.50%
Belgium,"2,993","14,805",20.22%
Bulgaria,197,"11,985",1.64%
Croatia,"1,115","8,460",13.18%
Cyprus,53,"4,230",1.25%
Czechia,547,"14,805",3.69%
Denmark,882,"9,870",8.94%
Estonia,789,"4,935",15.99%
Finland,909,"9,870",9.21%
France,"28,671","55,695",51.48%
Germany,"4,800","67,680",7.09%
Greece,880,"14,805",5.94%
Hungary,662,"14,805",4.47%
Ireland,"1,304","9,165",14.23%
Italy,"11,485","53,580",21.44%
Latvia,312,"5,640",5.53%
Lithuania,497,"7,755",6.41%
Luxembourg,305,"4,230",7.21%
Malta,163,"4,230",3.85%
Netherlands,"1,207","20,445",5.90%
Poland,"6,790","36,660",18.52%
Portugal,"1,373","14,805",9.27%
Romania,813,"23,265",3.49%
Slovakia,331,"9,870",3.35%
Slovenia,528,"5,640",9.36%
Spain,"4,103","41,595",9.86%
Sweden,"1,168","14,805",7.89%
Total number of signatories,"74,016",,
